templateId,key,label_ar,label_fr,type,required,example,validation,notes,needsReview
"wkalh-krym-hsany","cin","و","","cin","true","Example","{""required"":true,""regex"":""^[A-Z0-9s-]{3,20}$"",""maxLength"":20}","detectedBy=keyword","true"
"wkalh-krym-hsany","signature","وكــــــــــالة أنا الموقع أسفله","وكــــــــــالة أنا الموقع أسفله :السيد : حساني كريم  الحامل للبطاقة الوطنية عدد: FJ21985القاطن ب : دوار لمريس اغبالبموجب هذا اشهد على نفسي واصرح بانني اوكل : السيد : كمال حساني الحامل للبطاقة الوطنية عدد :FA13089 العنوان  : زنقة بئر انزران رقم 14 السعيدية وذلك لينوب عني ويقوم مقامي لدى جميع الادارات العمومية والشبه العمومية والمحاكم ودار التنبر والعدول ومصلحة الضرائب والمحافظة العقارية والمسح الطبوغرافي وباقي المصالح المختصة بخصوص ايداع او سحب اي وثيقة خاصة بي وكذلك استلام  وقبض الرسائل العادية والمضمونة من مؤسسة البريد بنك كما له كامل الصلاحية بالامضاء بخط يده نيابة عني عند الحاجة والاقتضاء .حررت للإدلاء بها عند الحاجة و الاقتضاء ، والسلام امضاء:","signature","true","Example","{""required"":true,""type"":""signature""}","detectedBy=keyword",""
"wkalh-krym-hsany","address","وكــــــــــالة أنا الموقع أسفله","وكــــــــــالة أنا الموقع أسفله :السيد : حساني كريم  الحامل للبطاقة الوطنية عدد: FJ21985القاطن ب : دوار لمريس اغبالبموجب هذا اشهد على نفسي واصرح بانني اوكل : السيد : كمال حساني الحامل للبطاقة الوطنية عدد :FA13089 العنوان  : زنقة بئر انزران رقم 14 السعيدية وذلك لينوب عني ويقوم مقامي لدى جميع الادارات العمومية والشبه العمومية والمحاكم ودار التنبر والعدول ومصلحة الضرائب والمحافظة العقارية والمسح الطبوغرافي وباقي المصالح المختصة بخصوص ايداع او سحب اي وثيقة خاصة بي وكذلك استلام  وقبض الرسائل العادية والمضمونة من مؤسسة البريد بنك كما له كامل الصلاحية بالامضاء بخط يده نيابة عني عند الحاجة والاقتضاء .حررت للإدلاء بها عند الحاجة و الاقتضاء ، والسلام امضاء:","multiline","","Example","{""required"":false,""maxLength"":500}","detectedBy=keyword",""
