templateId,key,label_ar,label_fr,type,required,example,validation,notes,needsReview
"shkayh-0022","amount","الحمد لله وحده السعيدية في 2017","الحمد لله وحده السعيدية في 2017.11.07 من السيدة : بن مومن فاطنة وطنيتها : F164296العنوان : تجزئة الطلحاوي حي الوجيدي السعيدية .الى السيد المحترم : رئيس المجلس البلدي بالسعيدية الموضوع: شكاية سلام تام بوجود مولانا الاماموبعد،علاقة بالموضوع المشار اليه اعلاه يسعدنا ويشرفنا السيد المحترم ان اتقدم اليكم بشكايتنا هاتهوهذا نصها :نحن شقيقتان نقطن بالعنوان المذكور اعلاه منذ سنة 2003 ومنذ ان قام المجلس البلدي بتعبيد طرقالتجزئة وتسويتها والاوساخ والازبال وركام بقايا الازبال ما زالت في موضعها امام بيت منازلنا رغم ان الاشغال اكتملت لكن الشركة المعنية بتعبيد الطرق لم تنظف المكان الذي اشتغلت به والمتمثل في انتشار الاوساخ والازبال التي يجتمع حولها الذباب والبعوض والكثير من الجراثيم التي تضر بصحة الساكنة وتلوث البيئة كما انها لم تصلح ولم تعبد الطريق العمومية التي تمر امام بيت منزلي ، كما ان شقيقتي القاطنة في الديار البلجيكية قامت مؤخرا بزيارة منزلها المجاور لمنزلي بالعنوان اعلاه للاستجمام لكنها لم تجد المكان لركن سيارتها بمنزلها بسبب القذارة والازبال السبب الذي جعلها تغضب بشدة وتسافر للخارج هربا من البعوض والجراثيم والبيئة الملوثة وحينما توجهت الى بلدية السعيدية لمطالبة المصلحة المختصة بتنظيف اشغال تعبيد الطريق بالعنوان اعلاه كلمني شخص اسمه ابراهيم يعمل في المجلس البلدي وقال لي "" لم اراك في اي يوم ان تأتي وفي يدك 100 درهم لي "" حينها غضبت وخرجت مسرعة  الى الخارج .لأجله ، المرجو منكم السيد المحترم اعطاء اوامركم المطاعة للجهات المسؤولة قصد العمل على تنظيف المكان المذكور وتعبيد الطريق الذي يمر امام منزلي ومنازل جيراني بالعنوان اعلاه من الازبال والاوساخ وبقايا الاشغال في اقرب وقت ممكن .وفي انتظار ذلك ، تقبلوا منا السيد المحترم ، فائق  التقدير والاحترام / والسلامالامضاء :لائحة سكان تجزئة بنمسعود المطالبين بتسوية البقعة المخصصة لركن السيارتالاسمرقم ب.ت.والامضاء","amount","true","1000","{""required"":true,""min"":0,""decimals"":2}","detectedBy=currency",""
"shkayh-0022","fullname","الحمد لله وحده السعيدية في 2017","الحمد لله وحده السعيدية في 2017.11.07 من السيدة : بن مومن فاطنة وطنيتها : F164296العنوان : تجزئة الطلحاوي حي الوجيدي السعيدية .الى السيد المحترم : رئيس المجلس البلدي بالسعيدية الموضوع: شكاية سلام تام بوجود مولانا الاماموبعد،علاقة بالموضوع المشار اليه اعلاه يسعدنا ويشرفنا السيد المحترم ان اتقدم اليكم بشكايتنا هاتهوهذا نصها :نحن شقيقتان نقطن بالعنوان المذكور اعلاه منذ سنة 2003 ومنذ ان قام المجلس البلدي بتعبيد طرقالتجزئة وتسويتها والاوساخ والازبال وركام بقايا الازبال ما زالت في موضعها امام بيت منازلنا رغم ان الاشغال اكتملت لكن الشركة المعنية بتعبيد الطرق لم تنظف المكان الذي اشتغلت به والمتمثل في انتشار الاوساخ والازبال التي يجتمع حولها الذباب والبعوض والكثير من الجراثيم التي تضر بصحة الساكنة وتلوث البيئة كما انها لم تصلح ولم تعبد الطريق العمومية التي تمر امام بيت منزلي ، كما ان شقيقتي القاطنة في الديار البلجيكية قامت مؤخرا بزيارة منزلها المجاور لمنزلي بالعنوان اعلاه للاستجمام لكنها لم تجد المكان لركن سيارتها بمنزلها بسبب القذارة والازبال السبب الذي جعلها تغضب بشدة وتسافر للخارج هربا من البعوض والجراثيم والبيئة الملوثة وحينما توجهت الى بلدية السعيدية لمطالبة المصلحة المختصة بتنظيف اشغال تعبيد الطريق بالعنوان اعلاه كلمني شخص اسمه ابراهيم يعمل في المجلس البلدي وقال لي "" لم اراك في اي يوم ان تأتي وفي يدك 100 درهم لي "" حينها غضبت وخرجت مسرعة  الى الخارج .لأجله ، المرجو منكم السيد المحترم اعطاء اوامركم المطاعة للجهات المسؤولة قصد العمل على تنظيف المكان المذكور وتعبيد الطريق الذي يمر امام منزلي ومنازل جيراني بالعنوان اعلاه من الازبال والاوساخ وبقايا الاشغال في اقرب وقت ممكن .وفي انتظار ذلك ، تقبلوا منا السيد المحترم ، فائق  التقدير والاحترام / والسلامالامضاء :لائحة سكان تجزئة بنمسعود المطالبين بتسوية البقعة المخصصة لركن السيارتالاسمرقم ب.ت.والامضاء","text","true","Example","{""required"":true,""maxLength"":500}","detectedBy=keyword",""
"shkayh-0022","address","الحمد لله وحده السعيدية في 2017","الحمد لله وحده السعيدية في 2017.11.07 من السيدة : بن مومن فاطنة وطنيتها : F164296العنوان : تجزئة الطلحاوي حي الوجيدي السعيدية .الى السيد المحترم : رئيس المجلس البلدي بالسعيدية الموضوع: شكاية سلام تام بوجود مولانا الاماموبعد،علاقة بالموضوع المشار اليه اعلاه يسعدنا ويشرفنا السيد المحترم ان اتقدم اليكم بشكايتنا هاتهوهذا نصها :نحن شقيقتان نقطن بالعنوان المذكور اعلاه منذ سنة 2003 ومنذ ان قام المجلس البلدي بتعبيد طرقالتجزئة وتسويتها والاوساخ والازبال وركام بقايا الازبال ما زالت في موضعها امام بيت منازلنا رغم ان الاشغال اكتملت لكن الشركة المعنية بتعبيد الطرق لم تنظف المكان الذي اشتغلت به والمتمثل في انتشار الاوساخ والازبال التي يجتمع حولها الذباب والبعوض والكثير من الجراثيم التي تضر بصحة الساكنة وتلوث البيئة كما انها لم تصلح ولم تعبد الطريق العمومية التي تمر امام بيت منزلي ، كما ان شقيقتي القاطنة في الديار البلجيكية قامت مؤخرا بزيارة منزلها المجاور لمنزلي بالعنوان اعلاه للاستجمام لكنها لم تجد المكان لركن سيارتها بمنزلها بسبب القذارة والازبال السبب الذي جعلها تغضب بشدة وتسافر للخارج هربا من البعوض والجراثيم والبيئة الملوثة وحينما توجهت الى بلدية السعيدية لمطالبة المصلحة المختصة بتنظيف اشغال تعبيد الطريق بالعنوان اعلاه كلمني شخص اسمه ابراهيم يعمل في المجلس البلدي وقال لي "" لم اراك في اي يوم ان تأتي وفي يدك 100 درهم لي "" حينها غضبت وخرجت مسرعة  الى الخارج .لأجله ، المرجو منكم السيد المحترم اعطاء اوامركم المطاعة للجهات المسؤولة قصد العمل على تنظيف المكان المذكور وتعبيد الطريق الذي يمر امام منزلي ومنازل جيراني بالعنوان اعلاه من الازبال والاوساخ وبقايا الاشغال في اقرب وقت ممكن .وفي انتظار ذلك ، تقبلوا منا السيد المحترم ، فائق  التقدير والاحترام / والسلامالامضاء :لائحة سكان تجزئة بنمسعود المطالبين بتسوية البقعة المخصصة لركن السيارتالاسمرقم ب.ت.والامضاء","multiline","","Example","{""required"":false,""maxLength"":500}","detectedBy=keyword",""
