templateId,key,label_ar,label_fr,type,required,example,validation,notes,needsReview
"aatraf-bdyn-alzrwaly","cin","ا","","cin","true","Example","{""required"":true,""regex"":""^[A-Z0-9s-]{3,20}$"",""maxLength"":20}","detectedBy=keyword","true"
"aatraf-bdyn-alzrwaly","amount","اعتـــــــــراف بديــنأنا الموقع أسفله","اعتـــــــــراف بديــنأنا الموقع أسفله:زروالي محمد، مغربي الجنسية، و الحامل لبطاقة التعريف الوطنية رقم: FE12477.اعترف و أشهد على نفسي بأنني مدين السيد جمال مضروني، حامل لبطاقة التعريف الوطنية رقم: S839508، و ذلك في دين ناتج على استغلال لغرفة في فندق HOTEL  NEWYORL COMIPY   و المبلغ هو: 10500.0 gى استغلال لغرفة في فندق لوطنية رقم: 0 درهم (عشرة الف و خمس مئة درهم)، و أشهد بأنني سوف اسدده في أجل أقصاه 2017.12.20.الإمضاء.","amount","true","1000","{""required"":true,""min"":0,""decimals"":2}","detectedBy=currency",""
"aatraf-bdyn-alzrwaly","signature","اعتـــــــــراف بديــنأنا الموقع أسفله","اعتـــــــــراف بديــنأنا الموقع أسفله:زروالي محمد، مغربي الجنسية، و الحامل لبطاقة التعريف الوطنية رقم: FE12477.اعترف و أشهد على نفسي بأنني مدين السيد جمال مضروني، حامل لبطاقة التعريف الوطنية رقم: S839508، و ذلك في دين ناتج على استغلال لغرفة في فندق HOTEL  NEWYORL COMIPY   و المبلغ هو: 10500.0 gى استغلال لغرفة في فندق لوطنية رقم: 0 درهم (عشرة الف و خمس مئة درهم)، و أشهد بأنني سوف اسدده في أجل أقصاه 2017.12.20.الإمضاء.","signature","true","Example","{""required"":true,""type"":""signature""}","detectedBy=keyword",""
