templateId,key,label_ar,label_fr,type,required,example,notes
"ashhad","cin","ا","","cin","true","Example","detectedBy=keyword"
"ashhad","signature","اشهــــــــــــاد انا الموقع اسفله : السيد : .............................................................الحامل للبطاقة الوطنية رقم : ....................................................العنوان : .........................................................................بموجب هذا اشهد على نفسي واصرح وانا في كامل قواي العقلية والجسدية انني لا ولن انتمي في اي نقابة في شركة SAIDIA AZUR  حيث اشتغل حاليا .وحرر هذا الاشهاد للادلاء به عند الحاجة والاقتضاء والسلامالامضاء","اشهــــــــــــاد انا الموقع اسفله : السيد : .............................................................الحامل للبطاقة الوطنية رقم : ....................................................العنوان : .........................................................................بموجب هذا اشهد على نفسي واصرح وانا في كامل قواي العقلية والجسدية انني لا ولن انتمي في اي نقابة في شركة SAIDIA AZUR  حيث اشتغل حاليا .وحرر هذا الاشهاد للادلاء به عند الحاجة والاقتضاء والسلامالامضاء","signature","true","Example","detectedBy=keyword"
"ashhad","address","اشهــــــــــــاد انا الموقع اسفله : السيد : .............................................................الحامل للبطاقة الوطنية رقم : ....................................................العنوان : .........................................................................بموجب هذا اشهد على نفسي واصرح وانا في كامل قواي العقلية والجسدية انني لا ولن انتمي في اي نقابة في شركة SAIDIA AZUR  حيث اشتغل حاليا .وحرر هذا الاشهاد للادلاء به عند الحاجة والاقتضاء والسلامالامضاء","اشهــــــــــــاد انا الموقع اسفله : السيد : .............................................................الحامل للبطاقة الوطنية رقم : ....................................................العنوان : .........................................................................بموجب هذا اشهد على نفسي واصرح وانا في كامل قواي العقلية والجسدية انني لا ولن انتمي في اي نقابة في شركة SAIDIA AZUR  حيث اشتغل حاليا .وحرر هذا الاشهاد للادلاء به عند الحاجة والاقتضاء والسلامالامضاء","multiline","","Example","detectedBy=keyword"
