templateId,key,label_ar,label_fr,type,required,example,validation,notes,needsReview
"aqd-kraa-rabh-arbawy","cin","ع","","cin","true","Example","{""required"":true,""regex"":""^[A-Z0-9s-]{3,20}$"",""maxLength"":20}","detectedBy=keyword","true"
"aqd-kraa-rabh-arbawy","amount","عــــــــــــقد كـــــــــــــــراءالطرف الأول","عــــــــــــقد كـــــــــــــــراءالطرف الأول: السيد رابح عرباوي ,مغربي الجنسية , الحامل للبطاقة الوطنية F51218  العنوان : بلجيكا ***********************************************************************************من جهة كاريالطرف الثاني: السيد محمد الحمري ، الحامل للبطاقة الوطنية عدد F756202   العنوان : زنقة معزوزة رقم 64 وجدة  **********************************************************************************من جهة مكترياتفق الطرفان و تراضيا على ما يلي:بمقتضى هذا العقد اكرى الطرف الاول ،مع جميع الضمانات الفعلية و القانونية للطرف الثاني الذي قبل منه ما يلي ذكره في باب البيانات:البيانات : الشقة الفارغة  الكائنة ب : تجزئة النخيل رقم 03 بالطابق الطابق الاول السعيدية  المدة    : تبتدئ مدة الكراء من تاريخ2017.09.01 الى غاية  2018.06.30    الثمن : اتفق الطرفان على ثمن مالي اجمالي قدره 1600  درهم شهريا كما يصرح الطرف الاول بانه قبض مبلغ 4800 درهم وهذا كدفع واجبات ثلاثة اشهر اي اشهر 09- 10 -11 من سنة 2017 يلتزم الطرف الثاني  بدفع فواتير الماء والكهرباء طيلة مدة الكراء المذكورة اعلاه . يلتزم الطرف الثاني بتحمل المسؤولية كاملة طيلة مدة الكراء.يلتزم الطرف الثاني بافراغ الشقة موضوع الكراء في حالة ما اذا اراد الطرف بيعها .حرر للإدلاء به عند الحاجة والاقتضاء / والسلام إمضاء الكاري:                                         إمضاء المكتري:","amount","true","1000","{""required"":true,""min"":0,""decimals"":2}","detectedBy=currency",""
"aqd-kraa-rabh-arbawy","address","عــــــــــــقد كـــــــــــــــراءالطرف الأول","عــــــــــــقد كـــــــــــــــراءالطرف الأول: السيد رابح عرباوي ,مغربي الجنسية , الحامل للبطاقة الوطنية F51218  العنوان : بلجيكا ***********************************************************************************من جهة كاريالطرف الثاني: السيد محمد الحمري ، الحامل للبطاقة الوطنية عدد F756202   العنوان : زنقة معزوزة رقم 64 وجدة  **********************************************************************************من جهة مكترياتفق الطرفان و تراضيا على ما يلي:بمقتضى هذا العقد اكرى الطرف الاول ،مع جميع الضمانات الفعلية و القانونية للطرف الثاني الذي قبل منه ما يلي ذكره في باب البيانات:البيانات : الشقة الفارغة  الكائنة ب : تجزئة النخيل رقم 03 بالطابق الطابق الاول السعيدية  المدة    : تبتدئ مدة الكراء من تاريخ2017.09.01 الى غاية  2018.06.30    الثمن : اتفق الطرفان على ثمن مالي اجمالي قدره 1600  درهم شهريا كما يصرح الطرف الاول بانه قبض مبلغ 4800 درهم وهذا كدفع واجبات ثلاثة اشهر اي اشهر 09- 10 -11 من سنة 2017 يلتزم الطرف الثاني  بدفع فواتير الماء والكهرباء طيلة مدة الكراء المذكورة اعلاه . يلتزم الطرف الثاني بتحمل المسؤولية كاملة طيلة مدة الكراء.يلتزم الطرف الثاني بافراغ الشقة موضوع الكراء في حالة ما اذا اراد الطرف بيعها .حرر للإدلاء به عند الحاجة والاقتضاء / والسلام إمضاء الكاري:                                         إمضاء المكتري:","multiline","","Example","{""required"":false,""maxLength"":500}","detectedBy=keyword",""
