templateId,key,label_ar,label_fr,type,required,example,validation,notes,needsReview
"aqd-bya-docker","cin","ع","","cin","true","Example","{""required"":true,""regex"":""^[A-Z0-9s-]{3,20}$"",""maxLength"":20}","detectedBy=keyword","true"
"aqd-bya-docker","date","عقد بيع دراجة نارية بين الموقعين أسفله","عقد بيع دراجة نارية بين الموقعين أسفله :الطرف الأولالسيد الحسن لكبيري , المزداد في 1985.09.26 و الحامل للبطاقة الوطنية H444484 الساكن بحي تريفة 01 السعيدية الطرف الثانيالسيد محمد غانم, المزداد في 01/01/1986 و الحامل للبطاقة الوطنية ZG 79874 الساكن بدوار اولاد حمان لعثامنة.قام الطرف الأول ببيع دراجة نارية مستعملة للطرف الثاني  تحمل المعطيات التالية :رقم التسجيل                  : 49 – ا - 33233اسم الصانع            	: DOCKERالنوع                          : XCGLYرقم إطارها الحديدي		: LATXCGLY5G1084209		القوة الجبائية  		: 1عدد الاسطوانات		: 1إن المشتري قد أصبح المسؤول عن الدراجة النارية المذكورة أعلاه ابتداء من تاريخ المصادقة على هذا العقد .الإمضاء:الطرف الأول:                                         الطرف الثاني:","date","true","01/01/2025","{""required"":true,""format"":""dd/MM/yyyy""}","detectedBy=regex",""
"aqd-bya-docker","signature","عقد بيع دراجة نارية بين الموقعين أسفله","عقد بيع دراجة نارية بين الموقعين أسفله :الطرف الأولالسيد الحسن لكبيري , المزداد في 1985.09.26 و الحامل للبطاقة الوطنية H444484 الساكن بحي تريفة 01 السعيدية الطرف الثانيالسيد محمد غانم, المزداد في 01/01/1986 و الحامل للبطاقة الوطنية ZG 79874 الساكن بدوار اولاد حمان لعثامنة.قام الطرف الأول ببيع دراجة نارية مستعملة للطرف الثاني  تحمل المعطيات التالية :رقم التسجيل                  : 49 – ا - 33233اسم الصانع            	: DOCKERالنوع                          : XCGLYرقم إطارها الحديدي		: LATXCGLY5G1084209		القوة الجبائية  		: 1عدد الاسطوانات		: 1إن المشتري قد أصبح المسؤول عن الدراجة النارية المذكورة أعلاه ابتداء من تاريخ المصادقة على هذا العقد .الإمضاء:الطرف الأول:                                         الطرف الثاني:","signature","true","Example","{""required"":true,""type"":""signature""}","detectedBy=keyword",""
