templateId,key,label_ar,label_fr,type,required,example,validation,notes,needsReview
"ashhad-skn-zhyr-hsayny","cin","ت","","cin","true","Example","{""required"":true,""regex"":""^[A-Z0-9s-]{3,20}$"",""maxLength"":20}","detectedBy=keyword","true"
"ashhad-skn-zhyr-hsayny","signature","تصريـــح بالشرفأنا الموقع أسفله","تصريـــح بالشرفأنا الموقع أسفله :السيد                             : الزاهر الحسينالحامل للبطاقة الوطنية رقم     : S150859 العنوان                            : تجزئة الوحدة رقم 584  السعيدية.بموجب هذا اشهد على نفسي وأصرح بشرفي بأن السيدة سكينة عنصاري، الحاملة للبطاقة الوطنية رقم S786893 ، تقطن معي بمنزلي الكائن بالعنوان اعلاه لاكثر من ستة شهور. حررت هذا التصريح للإدلاء به عند الحاجة و الاقتضاء .السعيدية في 2017.09.12الإمضاء:","signature","true","Example","{""required"":true,""type"":""signature""}","detectedBy=keyword",""
"ashhad-skn-zhyr-hsayny","address","تصريـــح بالشرفأنا الموقع أسفله","تصريـــح بالشرفأنا الموقع أسفله :السيد                             : الزاهر الحسينالحامل للبطاقة الوطنية رقم     : S150859 العنوان                            : تجزئة الوحدة رقم 584  السعيدية.بموجب هذا اشهد على نفسي وأصرح بشرفي بأن السيدة سكينة عنصاري، الحاملة للبطاقة الوطنية رقم S786893 ، تقطن معي بمنزلي الكائن بالعنوان اعلاه لاكثر من ستة شهور. حررت هذا التصريح للإدلاء به عند الحاجة و الاقتضاء .السعيدية في 2017.09.12الإمضاء:","multiline","","Example","{""required"":false,""maxLength"":500}","detectedBy=keyword",""
