templateId,key,label_ar,label_fr,type,required,example,validation,notes,needsReview
"ashhad","cin","ا","","cin","true","Example","{""required"":true,""regex"":""^[A-Z0-9s-]{3,20}$"",""maxLength"":20}","detectedBy=keyword","true"
"ashhad","signature","اشهــــــــــــاد انا الموقع اسفله","اشهــــــــــــاد انا الموقع اسفله : السيد : .............................................................الحامل للبطاقة الوطنية رقم : ....................................................العنوان : .........................................................................بموجب هذا اشهد على نفسي واصرح وانا في كامل قواي العقلية والجسدية انني لا ولن انتمي في اي نقابة في شركة SAIDIA AZUR  حيث اشتغل حاليا .وحرر هذا الاشهاد للادلاء به عند الحاجة والاقتضاء والسلامالامضاء","signature","true","Example","{""required"":true,""type"":""signature""}","detectedBy=keyword",""
"ashhad","address","اشهــــــــــــاد انا الموقع اسفله","اشهــــــــــــاد انا الموقع اسفله : السيد : .............................................................الحامل للبطاقة الوطنية رقم : ....................................................العنوان : .........................................................................بموجب هذا اشهد على نفسي واصرح وانا في كامل قواي العقلية والجسدية انني لا ولن انتمي في اي نقابة في شركة SAIDIA AZUR  حيث اشتغل حاليا .وحرر هذا الاشهاد للادلاء به عند الحاجة والاقتضاء والسلامالامضاء","multiline","","Example","{""required"":false,""maxLength"":500}","detectedBy=keyword",""
